HRR,HRR.Name,Provider.ID,Hospital.Name,City,State,System,Number.of.deaths.among.chronically.ill.patients.assigned.to.hospital,Percent.of.enrollees.medical.inpatient.days.at.hospital.to.which.they.were.assigned,Hospital.Care.Intensity.Index.during.the.Last.Two.Years.of.Life,Total.Medicare.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Inpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Outpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,SNF.Long.Term.Care.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Home.Health.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Hospice.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Ambulance.spending.per.Decedent.during.the.last.two.years.of.life,Reimbursements.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,Other.spending.per.Decedent.during.the.last.two.years.of.life,Part.B.Spending.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Evaluation...Management.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Procedures.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Imaging.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Tests.per.Decedent.during.the.Last.Two.Years.of.Life,Other.Part.B.spending.per.Decedent.during.the.last.two.years.of.life,Hospital.reimbursements.per.Decedent.during.the.last.two.years.of.life,Inpatient.Days.per.Decedent.during.the.Last.Two.Years.of.Life,Reimbursements.per.patient.day..calculated.,Hospital.Reimbursements..Ratio.to.US.Average..calculated.,Hospital.Days..Ratio.to.US.Average..calculated.,Reimbursements.per.Day..Ratio.to.US.Average..calculated.,Payments.for.physician.visits.per.Decedent.during.the.last.two.years.of.life,Physician.Visits.per.Decedent.during.the.Last.Two.Years.of.Life,Payments.per.physician.visit..calculated.,Physician.visit.payments..Ratio.to.US.Average..calculated.,Physician.visits..Ratio.to.US.Average..calculated.,Payments.per.visit..Ratio.to.US.Average..calculated.,Hospital.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Total.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,High.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Intermediate.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Medical...Surgical.Unit.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,SNF.Bed.Inputs.per.1.000.Dededents.during.the.Last.Two.Years.of.Life,FTE.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Medical.Specialist.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Primary.Care.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Standardized.FTE.physician.labor..Ratio.MS.PC..calculated.,RNs.Required.Under.Proposed.Federal.Standards.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Inpatient.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Total.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,High.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Intermediate.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Medical...Surgical.Unit.Days.per.Decedent.during.the.Last.Six.Months.of.Life,SNF.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Medical.Specialist.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Primary.Care.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.visits.per.decedent.last.6.months..Ratio.MS.PC..calculated.,Home.Health.Agency.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Deaths.Occurring.In.Hospital,Percent.of.Deaths.Associated.With.ICU.Admission,Percent.of.Decedents.Enrolled.In.Hospice.during.the.Last.Six.Months.of.Life,Hospice.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Decedents.Seeing.10.or.More.Different.Physicians.during.the.Last.Six.Months.of.Life,Number.of.Different.Physicians.Seen.per.Decedent.during.the.Last.Six.Months.of.Life,Average.Co.Payments.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Physician.Services.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,hospital_name.x,city.x,hospital_name.y,city.y,longitude,latitude,address,website,tele
163,IL- HINSDALE,140304,Adventist Bolingbrook Hospital,Bolingbrook,IL,AdventHealth,141,84.4,1.1,103458,39896,21437,23268,6748,7431,2738,1210,729,20267,9737,3031,1113,851,5536,33765,15.5,2172,0.9,0.9,1,9738,82.2,119,1.4,1.2,1.1,42.6,10.7,5.8,4.9,31.9,85.6,42.2,18.4,16.3,1.1,37.5,8.4,2.6,1.7,1,5.8,14.7,42.8,20.3,15.5,1.3,10.4,16.5,10.1,68.9,24.2,75.8,18,5910,5551,359,adventist bolingbrook hospital,bolingbrook,adventist bolingbrook hospital,bolingbrook,-88.0846514409999,41.6808649600001,500 REMINGTON BOULEVARD,http://www.keepingyouwell.com/abh/,(630) 226-8100
166,IL- MELROSE PARK,140292,Adventist Glenoaks Hospital,Glendale Heights,IL,AdventHealth,104,81.9,1.3,101287,42095,13999,28845,5942,5744,2955,904,804,18814,11252,2181,972,944,3466,34422,18.8,1833,0.9,1,0.9,11252,84.9,133,1.6,1.3,1.2,51.5,14.6,10.5,4.1,36.9,111,45.4,20.6,17.7,1.2,47.5,12.1,3.6,2.8,0.8,8.5,18.6,50.2,26.6,18.4,1.4,8.6,17,13.2,70.2,22.9,74.7,19.2,5193,4917,276,adventist glenoaks hospital,glendale heights,adventist glenoaks,glendale heights,-88.056976526,41.9148248980001,701 WINTHROP AVENUE,http://www.keepingyouwell.com,(630) 545-6160
113,DC- WASHINGTON,210057,Adventist Healthcare Shady Grove Mc,Rockville,MD,Adventist HealthCare,472,85.3,1.3,113188,56820,27991,15080,4612,5047,1578,973,1087,26968,10127,5069,1704,1449,8619,50581,21.3,2369,1.3,1.2,1.1,10140,85.4,119,1.4,1.3,1.1,58.5,18.8,8.3,10.5,39.7,68.3,41.7,21.8,12.9,1.7,52.7,12.7,4.4,2.3,2.1,8.3,10.9,42.7,23.1,12.1,1.9,8,34,26.9,47.5,17.8,79.9,19.5,7510,7238,272,adventist healthcare shady grove mc,rockville,adventist healthcare shady grove medical center,rockville,-77.197904227,39.097844137,9901 MEDICAL CENTER DRIVE,http://www.adventisthealthcare.com,(240) 826-6517
163,IL- HINSDALE,140122,Adventist Hinsdale Hospital,Hinsdale,IL,AdventHealth,294,88.1,1.4,102120,44469,21196,21390,5603,6100,1398,1011,953,20344,10949,3360,1113,969,3954,37104,19,1954,1,1.1,0.9,10955,94.7,116,1.5,1.4,1.1,52,16,6,10,36,80.7,48.6,25.3,16,1.6,46,10.7,3.8,1.5,2.3,6.9,12.3,49,28.1,15.1,1.9,7.8,22.3,18.7,64.5,21.1,76.8,21,5906,5616,290,adventist hinsdale hospital,hinsdale,lansdale hospital,lansdale,-75.271421,40.2503,100 MEDICAL CAMPUS DRIVE,http://www.abingtonhealth.org/find-a-location/lansdale-hospital/,(215) 368-2100
166,IL- MELROSE PARK,140065,Adventist La Grange Mem Hosp,La Grange,IL,AdventHealth,326,88,1.2,91740,39628,19220,20072,5488,4158,1779,738,656,18853,10262,2586,867,790,4349,32966,18,1827,0.9,1,0.9,10262,82.3,125,1.4,1.2,1.2,49.4,13.5,4.7,8.8,35.9,79.2,41.7,21.7,14.2,1.5,42.8,10.6,3.3,1.2,2.1,7.3,12.2,40.7,21.5,14.3,1.5,8.3,23.2,18.4,57,14.3,76.1,19.1,5223,4997,225,adventist la grange mem hosp,la grange,adventist health clearlake,clearlake,-122.620144532,38.935618855,15630 18TH AVE - HWY 53,http://www.adventisthealth.org,NOT AVAILABLE
344,OR- PORTLAND,380060,Adventist Medical Center,Portland,OR,Adventist Health,189,82,0.6,76162,37913,14144,9236,4469,7664,1508,835,393,10653,4460,2233,672,607,2681,35052,12,2927,0.9,0.7,1.4,4662,39.9,117,0.7,0.6,1.1,32.8,13.7,3.6,10,19.1,39.7,16.5,7.9,4.8,1.6,29.8,7,3.3,1,2.4,3.7,6.5,16.9,5.3,3.9,1.4,6,26.3,13.9,62,31.1,45.2,10.2,3340,3086,254,adventist medical center,portland,adventist medical center,portland,-122.558434241,45.5127103470001,10123 SE MARKET STREET,www.adventisthealthnw.com,NOT AVAILABLE
43,CA- FRESNO,50121,Adventist Medical Center - Hanford,Hanford,CA,Adventist Health,280,89.3,1,92834,49224,18604,14633,3418,3442,1810,1283,420,17742,6456,3631,1493,732,5430,44886,20.7,2171,1.2,1.1,1,6864,66.3,104,1,1,1,56.6,10,4.8,5.2,46.6,78.3,30.7,13.5,12.9,1,47.4,12.3,2.3,1.3,1.1,9.9,14.3,32,12.4,11.7,1.1,6.9,31.6,19.5,50.1,14.1,58.1,12.5,5425,5045,380,adventist medical center  hanford,hanford,adventist medical center hanford,hanford,-119.667223471,36.323633972,115 MALL DRIVE,http://www.adventisthealthcv.com/hospital_newhanfordhospital.aspx,NOT AVAILABLE
175,IL- BLOOMINGTON,140127,Advocate Bromenn Medical Center,Normal,IL,Carle Health,237,90.3,0.7,76413,32791,21483,10024,2491,6560,1325,1096,642,20966,5220,2869,972,1210,10695,29421,14.3,2055,0.8,0.8,1,5535,51.4,108,0.8,0.8,1,39.2,27.7,3.5,24.2,11.5,48.3,24.7,9.1,11.3,0.8,38.1,8.1,5.8,0.8,5,2.3,6.7,23.5,9.2,11.8,0.8,3.8,16.4,12.6,70.1,25.2,54.5,11.7,6158,5831,327,advocate bromenn medical center,normal,buena vista regional medical center,storm lake,-95.222793005,42.644782171,1525 WEST FIFTH STREET,http://www.bvrmc.org,(712) 732-4030
155,IL- BLUE ISLAND,140208,Advocate Christ Medical Center,Oak Lawn,IL,Advocate Aurora Health,619,83.5,1.5,106178,53487,20867,16133,6429,4986,1709,1772,795,25680,10924,3885,1308,1045,8519,44724,22.1,2022,1.2,1.2,1,10938,94.5,116,1.5,1.4,1.1,60.6,38.7,7.7,31,21.9,68.6,45.5,22.3,16.5,1.4,59,13.1,8.5,2,6.5,4.6,12,49.8,25.4,17.8,1.4,9.2,30.1,26.6,51.8,19.4,70.5,19.6,7948,7402,546,advocate christ medical center,oak lawn,advocate christ hospital & medical center,oak lawn,-87.732442245,41.7216945170001,4440 W 95TH STREET,http://www.advocatehealth.com/christ,(708) 684-8000
451,WI- MILWAUKEE,140202,Advocate Condell Medical Center,Libertyville,IL,Advocate Aurora Health,629,91.1,1.3,94145,40580,19930,16217,6874,6549,1731,1092,1171,21265,9796,3480,1270,1115,5604,33923,20.4,1664,0.9,1.1,0.8,9796,85.6,114,1.4,1.3,1.1,55.9,37.7,4.8,32.9,18.2,77.5,41.5,18.2,17.3,1.1,53.7,11.8,8,1.3,6.7,3.8,12.6,43.9,23.3,16.9,1.4,10.4,17.2,16,67.8,22.7,72,17.9,6061,5734,327,advocate condell medical center,libertyville,advocate condell medical center,libertyville,-87.957699742,42.2742350020001,801 S MILWAUKEE AVE,http://www.advocatehealth.com/condell/,(847) 990-5200
163,IL- HINSDALE,140288,Advocate Good Samaritan Hospital,Downers Grove,IL,Advocate Aurora Health,510,88.5,1.2,96727,40317,19405,19449,6896,7262,1615,1040,743,21202,10107,3191,1354,966,5584,34062,17,1999,0.9,0.9,1,10113,83.7,121,1.4,1.3,1.1,46.7,37.3,5.8,31.6,9.4,71,42.3,21.8,14.2,1.5,47.2,9.6,8.1,1.4,6.7,1.5,10.6,42,23.4,11.8,2,10.8,20,18.9,67,25.8,75.5,18.7,5925,5629,297,advocate good samaritan hospital,downers grove,advocate good samaritan hospital,downers grove,-88.008115655,41.818466233,3815 HIGHLAND AVENUE,http://www.advocatehealth.com/gsam,(630) 275-5900
158,IL- ELGIN,140291,Advocate Good Shepherd Hospital,Barrington,IL,Advocate Aurora Health,379,89.8,1.2,95039,41231,21084,15077,6361,7442,1559,1267,1017,22682,9647,3204,1004,1169,7658,35219,18.4,1914,0.9,1,0.9,9647,81.3,119,1.4,1.2,1.1,50.4,35.5,7.1,28.4,14.9,57.6,40.8,18.7,15.6,1.2,50.2,10.4,7.6,1.5,6,2.8,9.3,38.5,19.4,14.5,1.3,9.9,14.9,12.7,68.7,26.6,72.2,17.5,6564,6204,361,advocate good shepherd hospital,barrington,advocate good shepherd hospital,barrington,-88.1728188709999,42.1953823710001,450 WEST HIGHWAY 22,http://www.advocatehealth.com/gshp/,(847) 381-9600
156,IL- CHICAGO,140182,Advocate Illinois Masonic Med Ctr,Chicago,IL,Advocate Aurora Health,129,83.8,1.3,110686,59985,13652,22354,5611,6380,1424,610,670,16233,9774,2503,1127,771,2057,52919,20.7,2556,1.4,1.1,1.2,9781,79.5,123,1.4,1.2,1.1,56.7,38.4,7.9,30.5,18.3,76,38.1,17.2,14.3,1.2,56.1,12.1,8.6,2.1,6.5,3.4,14.9,39.5,18.7,13.5,1.4,6.7,22.6,20.4,62.4,25.7,69.7,17.5,4715,4526,190,advocate illinois masonic med ctr,chicago,mt sinai hospital medical center,chicago,-87.694338583,41.8608097260001,15TH STREET AT CALIFORNIA,http://www.sinai.org,(773) 257-6434
161,IL- EVANSTON,140223,Advocate Lutheran General Hosp,Park Ridge,IL,Advocate Aurora Health,748,89.5,1.5,113656,55249,20153,21394,7089,6504,1566,771,929,23973,10801,3546,1226,1096,7303,47646,22.7,2102,1.3,1.3,1,10804,94.7,114,1.5,1.4,1.1,62.1,32.5,9.3,23.2,29.6,73.9,47.2,21.1,18.7,1.1,59.3,13.6,7.5,2.5,5.1,6,11.7,49.9,25.8,18.7,1.4,10.3,25.2,21.3,61.5,20.6,74.2,19.3,6730,6502,228,advocate lutheran general hosp,park ridge,lutheran general hospital advocate,park ridge,-87.847334384,42.038802226,1775 DEMPSTER ST,http://www.advocatehealth.com/luth/,(847) 723-2210
158,IL- ELGIN,140030,Advocate Sherman Hospital,Elgin,IL,Advocate Aurora Health,352,87.2,1.2,105537,44294,23733,20784,6033,6635,2219,1078,760,24966,10096,3822,977,1115,8956,37662,18.7,2011,1,1,1,10096,88.9,114,1.4,1.3,1.1,51.3,34.5,7.3,27.2,16.8,86.3,41.2,20.1,15.2,1.3,50.7,10.2,7.2,2,5.3,2.9,13.9,40.5,21.5,13.3,1.6,8.4,15.4,13.8,71.8,26.3,73.5,18.7,7366,7047,320,advocate sherman hospital,elgin,advocate sherman hospital,elgin,-88.330702301,42.0705874240001,1425 NORTH RANDALL ROAD,http://www.advocatehealth.com/sherman,(847) 742-9800
155,IL- BLUE ISLAND,140250,Advocate South Suburban Hospital,Hazel Crest,IL,Advocate Aurora Health,197,80.1,1.1,96157,43562,16957,18351,7300,6616,1696,950,725,20969,9768,3118,1187,889,6006,36886,17.9,2066,1,1,1,9780,78.9,124,1.4,1.2,1.2,48.9,29.9,7.2,22.7,19.1,83.9,37.8,17.8,14.4,1.2,47.7,10.7,7,2,5.1,3.6,13.2,40.5,19.7,14.6,1.3,10.8,19.4,18,61.1,25.8,75,19.1,6555,6247,308,advocate south suburban hospital,hazel crest,advocate south suburban hospital,hazel crest,-87.697569734,41.5663040370001,17800 S KEDZIE AVE,http://www.advocatehealth.com/ssub/,(708) 799-8000
156,IL- CHICAGO,140048,Advocate Trinity Hospital,Chicago,IL,Advocate Aurora Health,145,76.8,1.1,94887,45519,14822,15819,11131,3296,2861,748,691,18400,9710,2038,935,753,4963,38793,17.4,2229,1,1,1.1,9718,75.5,129,1.4,1.1,1.2,47.7,28.9,5.8,23.1,18.7,58.5,36,17.3,13.6,1.3,45.9,10,6.2,1.6,4.6,3.8,9.2,37.2,19,13.6,1.4,14.5,27,25,47.7,13.6,75.7,16.4,5128,4872,256,advocate trinity hospital,chicago,advocate trinity hospital,chicago,-87.567226181,41.726504393,2320 E 93RD ST,http://www.advocatehealth.com/trinity,(773) 967-2000
